sujal,1234562346,laddesujal123@gmail.com
uday,1231231236,uday@gmail.com
sujall,1234567654,ladde@gmail.com
Sujal,6364384531,laddesujal@gmail.com
Ian Lewis,8889990000,ian@example.com
Hannah Clark,5556667777,hannah@example.com
Grace Wilson,2223334444,grace@example.com
Frank Miller,3334445555,frank@example.com
Eve Davis,6665554444,eve@example.com
David Brown,7778889999,david@example.com
Carol White,4445556666,carol@company.com
Bob Johnson,1112223333,bob@company.com
Alice Smith,0987654321,alice@example.com
John Doe,1234567890,john@example.com
sujal,1232343456,laddesujal273@gmail.com
